author_id,adj,adp,adv,aux,cconj,det,intj,noun,num,part,pon,propn,punct,sconj,sym,verb,doc_id
1430,104,189,79,51,0,154,0,436,8,18,108,63,0,34,0,191,3292
1430,97,166,103,70,0,95,0,406,3,44,135,50,0,39,0,234,3292
1430,92,190,88,54,0,92,0,418,1,51,124,44,0,42,0,225,3292
1430,96,185,73,55,0,161,0,385,10,32,125,47,0,49,0,224,3292
1430,82,162,92,66,0,160,0,406,7,29,116,61,0,41,0,201,3292
1430,109,189,85,58,0,125,0,404,4,37,139,48,1,35,0,203,3292
1430,75,177,101,72,0,139,0,409,7,18,123,103,0,37,0,184,3292
1430,87,219,85,38,0,140,0,440,2,22,96,94,0,47,0,175,3292
1430,105,179,79,54,0,144,0,413,0,22,112,106,0,44,0,193,3292
1430,98,154,83,59,0,117,0,413,21,26,120,78,1,57,0,207,3292
1430,100,162,81,52,0,114,0,384,62,0,143,178,0,29,0,105,3293
1430,121,131,104,57,0,102,1,389,46,0,158,148,0,48,0,120,3293
1430,105,142,165,50,0,95,2,366,7,0,197,55,0,60,0,164,3293
1430,54,142,105,59,0,98,0,442,81,0,168,102,2,28,0,148,3293
1430,77,113,138,49,0,97,0,443,25,0,179,85,0,57,0,160,3293
1430,94,105,120,56,0,70,0,456,44,0,167,105,0,58,0,149,3293
1430,88,110,147,59,0,90,0,409,28,0,172,83,0,75,0,161,3293
1430,62,117,116,58,0,67,2,408,34,0,199,143,0,53,0,135,3293
1430,85,145,115,56,0,83,0,403,35,0,165,152,0,39,0,124,3293
1430,68,122,121,60,0,74,0,421,39,0,157,116,0,56,0,160,3293
1430,57,121,151,63,0,67,0,381,11,0,215,101,0,67,0,156,3293
1430,73,135,145,57,0,107,0,332,6,0,192,79,0,86,0,180,3293
1430,78,130,109,48,0,102,0,412,43,0,172,115,0,60,0,148,3293
1430,71,129,132,50,0,84,0,423,22,0,164,171,0,58,0,119,3293
1430,82,138,126,40,0,93,0,414,35,0,165,177,0,36,0,116,3293
1430,63,138,138,55,0,94,0,438,29,0,172,112,0,43,0,125,3293
1430,93,127,132,34,0,84,0,439,35,0,164,123,0,55,0,129,3293
1430,56,134,100,40,0,115,0,414,36,0,154,194,0,57,0,98,3293
1430,79,143,108,30,0,114,0,386,46,0,129,273,0,23,0,96,3293
1430,70,135,142,50,0,61,0,393,38,0,191,204,0,38,0,98,3293
1430,87,133,128,47,0,104,0,419,30,0,170,140,0,36,0,116,3293
1430,63,127,121,37,0,104,0,425,30,0,153,201,0,60,0,108,3293
1430,72,127,132,47,0,74,0,421,35,0,178,170,0,52,0,108,3293
1430,75,120,121,40,0,103,0,435,12,0,217,59,0,94,0,157,3293
1430,71,152,129,43,0,97,0,403,18,0,209,96,0,53,0,145,3293
1430,52,123,156,46,0,93,0,395,24,0,182,141,0,52,0,134,3293
1430,53,141,128,45,0,79,0,395,25,0,207,138,0,50,0,150,3293
1430,84,127,96,36,0,90,0,403,55,0,164,156,0,46,0,147,3293
1430,56,126,108,32,0,79,0,454,30,0,188,158,0,44,0,134,3293
1430,55,117,113,60,0,70,0,415,20,0,249,134,0,67,0,130,3293
1430,47,116,114,34,0,47,0,426,36,0,268,125,0,56,0,170,3293
1430,58,128,114,59,0,86,0,408,28,0,202,155,0,53,0,150,3293
1430,54,104,82,47,0,62,0,442,41,0,215,153,0,68,0,166,3293
1430,47,137,116,44,0,64,0,439,28,0,196,138,0,53,0,145,3293
1430,51,121,113,51,0,77,0,428,25,0,236,124,0,69,0,131,3293
1430,37,137,128,35,0,70,0,424,13,0,195,179,0,53,0,127,3293
1430,42,140,125,51,0,79,0,435,30,0,199,132,0,47,0,126,3293
1430,52,139,99,72,0,70,0,495,24,0,194,150,0,47,0,90,3293
1430,80,159,132,74,0,53,1,411,24,0,217,116,0,40,0,134,3293
1430,45,141,96,68,0,63,0,474,28,0,172,152,0,58,0,116,3293
1430,69,140,121,46,0,73,0,371,18,0,233,105,0,68,0,160,3293
1430,85,119,135,58,0,87,0,416,41,0,186,132,0,47,0,118,3293
1430,85,110,119,62,0,75,0,452,44,0,176,151,0,77,0,88,3293
